,Prop_ID,Name,Address,DogRuns_Type,Accessible,Notes
0,X002,Bronx Park Off-Leash Area,Unionport & Sagamore on Bronx Park East to 233rd Street,Off-Leash,N,
1,X008,Claremont Park Off-Leash Area,,Off-Leash,N,
2,X010,Crotona Park Off-Leash Area,"Except for playgrounds and other areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.",Off-Leash,N,
3,X019,Ewen Park Dog Run,"Riverdale to Johnson avenues, south of West 232nd Street",Run,N,
4,X110A,Frank S. Hackett Park Dog Run,Riverdale Avenue at Henry Hudson Parkway,Run,N,
5,X047,Franz Sigel Park Dog Run,"Center of the park, just north of the ballfields which would line up with around 155th Street.",Run,N,
6,X080,Henry Hudson Park Off-Leash Area,Kappock Street and Independence Avenue,Off-Leash,N,
7,X015,Joseph Rodham Drake Park Off-Leash Area,,Off-Leash,N,
8,X034,Mullaly Park Off-Leash Area,,Off-Leash,N,
9,X039,Pelham Bay Park Off-Leash Area,"Middletown Road & Stadium Avenue, northwest of parking lot.",Off-Leash,N,"The dog run at Pelham Bay Park is close to Watt Avenue and Middletown Road.  Both streets merge at the entrance to the parking lot on Middletown Road. The dog run is about 100 yards east of that point.<br><a href=""http://nycgovparks.org/parks/X039/map/pelhambay_dogonleasharea.pdf"">Please download our map of permitted on-leash dog areas.</a>"
10,X201,Seton Park Dog Run,West 232nd Street & Independence Avenue,Run,N,
11,X010A,Tremont Park Off-Leash Area,"Except for playgrounds and other areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.",Off-Leash,N,
12,X092,Van Cortlandt Park: Canine Court,Broadway and 252 Street,Run,N,"<a href=""https://vancortlandt.org/visit/things-to-see-and-do/"">More info.</a>"
13,X104,Williamsbridge Oval Dog Run,3225 Reservoir Oval East,Run,N,
14,B080,Asser Levy Park Off-Leash Area,"Surf Avenue, Sea Breeze Avenue, West 5th Street, Ocean Parkway",Off-Leash,N,
15,B247,Breukelen Park Off-Leash Area,All areas excluding the playground and ballfields,Off-Leash,N,
16,B431,Brooklyn Bridge Park Dog Run,Pier 6,Run,N,
17,B113A,Brooklyn War Memorial Off-Leash Area,"Cadman Plaza Park, Cadman Plaza West & East & Prospect Street ",Off-Leash,N,
18,B018,Canarsie Park Off-Leash Area,"All areas excluding the playground, ballfields, and Natural Areas.",Off-Leash,N,
19,B223B,DiMattina Park Dog Run,Hicks & Woodhull streets,Run,N,
20,B028,Dyker Beach Park Dog Run,7th Avenue and 86th Street,Run,N,
21,B028,Dyker Beach Park Off-Leash Area,"Cropsey Avenue, Bay 8th Street, and Poly Place",Off-Leash,N,
